Car_Brand,Car_Name,Year,Selling_Price,Km_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,800,2007,60000,70000,Petrol,Individual,Manual,First Owner
Maruti,Wagon,2007,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai,Verna,2012,600000,100000,Diesel,Individual,Manual,First Owner
Datsun,RediGO,2017,250000,46000,Petrol,Individual,Manual,First Owner
Honda,Amaze,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti,Alto,2007,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai,Xcent,2016,550000,25000,Petrol,Individual,Manual,First Owner
Tata,Indigo,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Creta,2015,850000,25000,Petrol,Individual,Manual,First Owner
Maruti,Celerio,2017,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet,Sail,2015,260000,35000,Petrol,Individual,Manual,First Owner
Tata,Indigo,2014,250000,100000,Petrol,Individual,Manual,First Owner
Maruti,Ciaz,2015,585000,24000,Petrol,Dealer,Manual,First Owner
Hyundai,Venue,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
Chevrolet,Enjoy,2013,390000,33000,Diesel,Individual,Manual,Second Owner
Maruti,Vitara,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
Honda,City,2018,930000,14500,Petrol,Dealer,Manual,First Owner
Tata,Tigor,2018,525000,15000,Petrol,Individual,Manual,First Owner
Skoda,Superb,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
Toyota,Corolla,2016,900000,50000,Petrol,Individual,Automatic,First Owner
Mercedes-Benz,E-Class,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
Hyundai,i10,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai,Elantra,2012,625000,40000,Diesel,Individual,Manual,First Owner
Mahindra,Scorpio,2014,1050000,50000,Diesel,Individual,Manual,First Owner
Honda,City,2014,560000,74000,Diesel,Individual,Manual,Second Owner
Maruti,Wagon,2014,290000,64000,Petrol,Individual,Manual,Second Owner
Maruti,Wagon,2012,275000,60000,Petrol,Individual,Manual,Second Owner
Mahindra,Scorpio,2009,411000,120000,Diesel,Individual,Manual,Second Owner
Hyundai,Santro,2009,150000,79000,Petrol,Individual,Manual,Third Owner
Hyundai,Grand,2019,500000,15000,Petrol,Individual,Manual,First Owner
Maruti,Alto,2006,100000,80000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2017,725000,18500,Diesel,Dealer,Manual,First Owner
Maruti,Eeco,2018,401000,10200,Petrol,Dealer,Manual,First Owner
Hyundai,i20,2018,750000,29000,Diesel,Dealer,Manual,First Owner
Maruti,Omni,2018,310000,28000,Petrol,Dealer,Manual,First Owner
Maruti,Swift,2016,665000,46000,Diesel,Dealer,Manual,First Owner
Hyundai,i20,2014,465000,70000,Diesel,Dealer,Manual,First Owner
